country,year,total,urban,rural,urban_water_improved,urban_water_piped,urban_water_otherimproved,urban_water_unimproved,rural_water_improved,rural_water_piped,rural_water_otherimproved,rural_water_unimproved,total_water_improved,total_water_piped,total_water_otherimproved,total_water_unimproved,urban_sanitation_improved,urban_sanitation_shared,urban_sanitation_opendefecation,urban_sanitation_otherunimproved,urban_sanitation_unimproved,rural_sanitation_improved,rural_sanitation_shared,rural_sanitation_opendefecation,rural_sanitation_otherunimproved,rural_sanitation_unimproved,total_sanitation_improved,total_sanitation_shared,total_sanitation_opendefecation,total_sanitation_otherunimproved,total_sanitation_unimproved
"Nauru","2008","10.18","10.18","0.00","9.00","","9.00","1.00","","","","","","","","","5.09","2.34","0.10","2.65","5.09","","","","","","","","","",""
"New Zealand","1990","3385.61","2869.03","516.58","2869.00","2869.00","0.00","0.00","517.00","517.00","0.00","0.00","3386.00","3386.00","0.00","0.00","","","","","","454.59","","","61.99","61.99","","","","",""
"New Zealand","1995","3685.32","3144.80","540.53","3145.00","3145.00","0.00","0.00","541.00","541.00","0.00","0.00","3686.00","3686.00","0.00","0.00","","","","","","475.66","","","64.86","64.87","","","","",""
"New Zealand","2000","3868.20","3314.16","554.04","3314.00","3314.00","0.00","0.00","554.00","554.00","0.00","0.00","3868.00","3868.00","0.00","0.00","","","","","","","","","","","","","","",""
"New Zealand","2005","4110.58","3543.65","566.93","3544.00","3544.00","0.00","0.00","567.00","567.00","0.00","0.00","4111.00","4111.00","0.00","0.00","","","","","","","","","","","","","","",""
"New Zealand","2008","4230.01","3660.65","569.36","3661.00","3661.00","0.00","0.00","569.00","569.00","0.00","0.00","4230.00","4230.00","0.00","0.00","","","","","","","","","","","","","","",""
"Oman","1990","1843.00","1218.26","624.74","1023.00","353.00","670.00","195.00","450.00","37.00","413.00","175.00","1473.00","390.00","1083.00","370.00","1181.71","","24.37","12.18","36.55","381.09","","199.92","43.73","243.65","1563.00","","224.00","56.00","280.00"
"Oman","1995","2171.83","1556.53","615.30","1307.00","498.00","809.00","250.00","443.00","43.00","400.00","172.00","1750.00","541.00","1209.00","422.00","1509.83","","31.13","15.57","46.70","375.33","","196.90","43.07","239.97","1885.00","","228.00","59.00","286.83"
"Oman","2000","2402.18","1719.22","682.97","1496.00","791.00","705.00","223.00","505.00","75.00","430.00","178.00","2001.00","866.00","1135.00","401.00","1667.64","","34.38","17.19","51.58","416.61","","218.55","47.81","266.36","2085.00","","253.00","65.00","317.18"
"Oman","2005","2617.83","1871.36","746.48","1684.00","1104.00","580.00","187.00","567.00","112.00","455.00","179.00","2251.00","1216.00","1035.00","366.00","1815.22","","","56.14","56.14","","","","","","","","","",""
"Oman","2008","2785.36","1993.54","791.82","1834.00","1356.00","478.00","160.00","610.00","143.00","467.00","182.00","2444.00","1499.00","945.00","342.00","1933.73","","","59.81","59.81","","","","","","","","","",""
"Pakistan","1990","115775.98","35399.67","80376.32","33984.00","20178.00","13806.00","1416.00","65105.00","7234.00","57871.00","15271.00","99089.00","27412.00","71677.00","16687.00","25841.76","2123.98","2477.98","4955.95","9557.91","6430.11","803.76","57067.19","16075.26","73946.21","32272.00","2928.00","59545.00","21031.00","83503.98"
"Pakistan","1995","130397.38","41513.31","88884.07","39438.00","23247.00","16191.00","2075.00","73774.00","10666.00","63108.00","15110.00","113212.00","33913.00","79299.00","17185.00","30304.72","2490.80","2905.93","5811.86","11208.59","12443.77","1777.68","55108.12","19554.49","76440.30","42749.00","4269.00","58014.00","25366.00","87648.38"
"Pakistan","2000","148132.37","49135.51","98996.86","46679.00","27516.00","19163.00","2457.00","84147.00","14850.00","69297.00","14850.00","130826.00","42366.00","88460.00","17307.00","35377.56","2948.13","2948.13","7861.68","13757.95","19799.37","2969.91","53458.30","22769.28","79197.49","55177.00","5918.00","56406.00","30631.00","92955.37"
"Pakistan","2005","165815.77","57833.22","107982.54","54942.00","31808.00","23134.00","2891.00","92865.00","20517.00","72348.00","15118.00","147807.00","52325.00","95482.00","18009.00","41639.92","3469.99","2891.66","9831.65","16193.30","26995.64","4319.30","48592.14","28075.46","80986.90","68636.00","7789.00","51484.00","37907.00","97179.77"
"Pakistan","2008","176952.12","63904.49","113047.63","60709.00","35147.00","25562.00","3195.00","98351.00","22610.00","75741.00","14697.00","159060.00","57757.00","101303.00","17892.00","46011.23","3834.27","3195.22","10863.76","17893.26","32783.81","5652.38","45219.05","29392.38","80263.82","78795.00","9486.00","48414.00","40256.00","98157.12"
"Panama","1990","2412.55","1299.55","1113.01","1287.00","1261.00","26.00","13.00","735.00","668.00","67.00","378.00","2022.00","1929.00","93.00","391.00","948.67","142.95","13.00","194.93","350.88","445.20","44.52","278.25","345.03","667.81","1394.00","188.00","291.00","540.00","1018.55"
"Panama","1995","2672.70","1602.92","1069.78","1571.00","1539.00","32.00","32.00","760.00","706.00","54.00","310.00","2331.00","2245.00","86.00","342.00","1186.16","176.32","32.06","208.38","416.76","460.00","42.79","224.65","342.33","609.78","1646.00","219.00","257.00","550.00","1026.70"
"Panama","2000","2950.80","1941.24","1009.56","1883.00","1844.00","39.00","58.00","777.00","727.00","50.00","233.00","2660.00","2571.00","89.00","291.00","1436.52","213.54","38.82","252.36","504.72","474.49","40.38","171.62","323.06","535.07","1911.00","254.00","211.00","575.00","1039.80"
"Panama","2005","3231.62","2287.89","943.73","2219.00","2128.00","91.00","69.00","783.00","746.00","37.00","161.00","3002.00","2874.00","128.00","230.00","1715.92","251.67","45.76","274.55","571.97","481.30","47.19","122.69","292.56","462.43","2197.00","299.00","169.00","568.00","1034.62"
"Panama","2008","3398.82","2491.75","907.08","2417.00","2317.00","100.00","75.00","753.00","717.00","36.00","154.00","3170.00","3034.00","136.00","229.00","1868.81","274.09","49.83","299.01","622.94","462.61","45.35","117.92","281.19","444.47","2332.00","319.00","168.00","580.00","1066.82"
"Peru","1990","21776.06","15003.93","6772.14","13203.00","10953.00","2250.00","1801.00","3047.00","1016.00","2031.00","3725.00","16250.00","11969.00","4281.00","5526.00","10652.79","1200.31","2400.63","750.20","4351.14","1083.54","67.72","5011.38","609.49","5688.60","11737.00","1268.00","7412.00","1359.00","10039.06"
"Peru","1995","23943.28","16824.22","7119.05","14974.00","12786.00","2188.00","1850.00","3560.00","1424.00","2136.00","3559.00","18534.00","14210.00","4324.00","5409.00","12449.92","1345.94","2018.91","1009.45","4374.30","1566.19","142.38","4413.81","996.67","5552.86","14016.00","1488.00","6433.00","2006.00","9927.28"
"Peru","2000","26004.16","18382.08","7622.08","16544.00","14522.00","2022.00","1838.00","4116.00","1982.00","2134.00","3506.00","20660.00","16504.00","4156.00","5344.00","14154.20","1470.57","1470.57","1286.75","4227.88","2057.96","152.44","3811.04","1600.64","5564.12","16212.00","1623.00","5282.00","2888.00","9792.16"
"Peru","2005","27835.93","19793.01","8042.91","17814.00","16230.00","1584.00","1979.00","4665.00","2574.00","2091.00","3378.00","22479.00","18804.00","3675.00","5357.00","15636.48","1781.37","593.79","1781.37","4156.53","2654.16","241.29","3136.74","2010.73","5388.75","18290.00","2022.00","3731.00","3792.00","9545.93"
"Peru","2008","28836.70","20587.10","8249.60","18528.00","17293.00","1235.00","2059.00","5032.00","2887.00","2145.00","3218.00","23560.00","20180.00","3380.00","5277.00","16675.55","1852.84","205.87","1852.84","3911.55","2969.86","247.49","2557.38","2474.88","5279.74","19646.00","2100.00","2763.00","4328.00","9190.70"
"Philippines","1990","62427.48","30449.63","31977.85","28318.00","12180.00","16138.00","2132.00","24303.00","2558.00","21745.00","7675.00","52621.00","14738.00","37883.00","9807.00","21314.74","4262.95","2435.97","2435.97","9134.89","14709.81","2878.01","7354.91","7035.13","17268.04","36025.00","7141.00","9791.00","9471.00","26402.48"
"Philippines","1995","69965.05","37797.22","32167.83","35151.00","17387.00","17764.00","2646.00","25413.00","4182.00","21231.00","6755.00","60564.00","21569.00","38995.00","9401.00","27591.97","5291.61","2645.81","2267.83","10205.25","16727.27","3216.78","6755.24","5468.53","15440.56","44319.00","8509.00","9401.00","7737.00","25646.05"
"Philippines","2000","77689.37","45485.57","32203.80","42302.00","23198.00","19104.00","3184.00","26407.00","5797.00","20610.00","5797.00","68709.00","28995.00","39714.00","8981.00","34569.03","6822.84","2729.13","1364.57","10916.54","19000.24","3864.46","5796.68","3542.42","13203.56","53569.00","10687.00","8526.00","4907.00","24120.37"
